id,loss
4,1595.8887
6,2009.8201
9,8034.729
12,7686.813
15,843.6749
17,2229.5579
21,1800.108
28,836.3447
32,2424.4194
43,3568.4429
46,2672.4465
50,858.87573
54,1322.386
62,2525.4834
70,2423.7012
71,5038.818
75,2196.4346
77,2139.3523
81,2433.2493
83,2544.2266
87,1943.5972
97,1524.4375
103,1229.114
119,988.9053
120,1492.3776
127,967.3108
138,4770.5503
141,2979.6116
148,1063.9261
150,2445.7798
151,2200.5208
158,1326.0188
160,6245.652
165,2313.9917
168,4117.2217
169,3609.4238
177,2695.5361
178,3777.7583
184,2284.2544
194,10414.141
198,1752.0852
203,3492.283
211,2511.4844
217,1315.5764
219,988.5214
221,5955.2075
227,1834.5365
230,1447.249
235,1734.4884
240,783.75366
243,3038.811
249,6135.3286
253,3128.3682
258,1304.9785
261,1864.207
263,3615.0896
264,2514.375
265,4358.437
268,1914.5608
271,1139.4578
274,5589.416
275,790.1616
279,1466.9634
282,1746.064
286,3480.028
288,1421.2562
294,2164.8813
296,1023.1598
297,1921.5396
300,789.7022
303,13389.281
314,1265.8672
315,4866.713
321,2300.014
323,3219.2695
330,3968.1707
341,1696.1608
342,4712.034
352,1692.2345
353,3713.1968
360,7957.54
361,2201.4348
362,4375.7134
366,1404.239
372,3101.706
376,3549.2583
377,2227.4558
379,1699.1996
380,4137.349
387,1781.884
392,1966.5677
394,11235.92
395,1556.9685
397,1558.7522
407,7204.176
411,8878.624
416,2506.2144
417,1474.8853
419,4327.25
428,6474.8003
431,1964.6477
436,9295.472
438,1307.1108
445,6720.3657
446,7797.012
455,1449.0674
456,1123.967
461,978.7652
463,1650.5366
464,3656.769
466,1311.5562
467,1110.6224
470,1321.7284
475,1506.4204
482,3540.229
490,3180.874
496,1836.3243
497,5145.212
508,3498.8428
510,1932.1562
512,1677.5098
513,3049.0317
523,2118.639
531,5287.0884
532,1999.5029
533,1339.8931
537,1096.5758
544,5066.2065
547,3143.5845
556,8354.826
565,1391.1171
566,1321.0527
571,1566.802
573,2056.3506
574,821.00793
581,1889.841
585,2493.9302
589,1805.9379
597,1801.6403
601,2625.7722
602,1768.6333
613,1458.4971
616,1385.0432
619,1944.9357
622,1888.6326
623,2328.5132
629,1520.125
634,1198.234
638,919.67896
642,1052.3995
643,2063.418
645,1098.6858
648,7648.395
652,1208.5781
664,846.3714
666,2195.7358
672,935.82117
676,2333.0396
678,4996.0405
682,1853.4923
686,2710.566
688,2496.4104
689,1204.9918
690,1662.0997
692,10326.732
695,1579.834
697,4577.8145
698,2320.957
706,2639.663
708,1631.6783
712,2551.6184
715,3802.365
717,1329.3352
725,3237.7654
729,912.01904
737,1295.157
739,5443.7783
747,4236.716
753,2491.3513
758,2369.2634
759,2037.397
763,1526.7169
773,4463.0757
774,2123.77
776,1570.9622
788,3023.4712
790,3529.5132
794,873.80237
801,3262.7012
802,1457.4438
805,1351.9036
809,5528.484
812,1522.2231
825,2765.5137
828,1777.6261
830,1651.85
833,945.1987
850,5552.8228
852,5959.7515
862,1539.7369
863,1400.1694
864,1372.8453
865,3590.5312
868,7021.619
872,1527.8035
879,5571.887
880,1339.7689
883,1387.3027
886,1225.3435
923,1736.1741
924,1511.4492
932,1707.9951
945,9151.216
947,6767.734
948,1888.7164
955,2761.785
963,4136.167
979,1320.6348
989,1436.4014
994,3028.9102
995,1926.2112
998,1676.3243
1000,3946.708
1018,1546.2781
1019,1686.6072
1028,2119.7969
1034,1333.4941
1038,1522.4335
1040,1424.2261
1042,1224.2168
1057,7847.654
1058,2737.0735
1063,976.61334
1066,5068.6577
1071,4406.278
1073,3421.964
1074,2667.8386
1077,3305.519
1080,10724.615
1088,997.8016
1096,845.25995
1097,13407.311
1105,5456.888
1115,2180.3179
1116,2562.943
1122,1867.9094
1130,4670.018
1133,955.4999
1137,1638.4962
1140,1885.2173
1143,7875.82
1149,4961.748
1150,811.65045
1153,849.61584
1157,1170.1282
1180,774.0935
1183,832.4817
1188,1613.7021
1193,964.57324
1200,823.3043
1209,4076.6885
1214,2043.5271
1219,2069.4636
1223,6154.2476
1227,803.1084
1228,1293.4176
1229,3334.9312
1233,837.98083
1238,7006.6587
1239,1962.0898
